,id,name,start_timestamp,sport,league,teams,scores
974,,Atlanta Hawks - Detroit Pistons,2016-12-03 01:00:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Detroit Pistons']","{'Atlanta Hawks': 85, 'Detroit Pistons': 121}"
975,,Chicago Bulls - Cleveland Cavaliers,2016-12-03 01:00:00+00:00,basketball,NBA,"['Chicago Bulls', 'Cleveland Cavaliers']","{'Chicago Bulls': 111, 'Cleveland Cavaliers': 105}"
976,,New Orleans Pelicans - Los Angeles Clippers,2016-12-03 01:00:00+00:00,basketball,NBA,"['New Orleans Pelicans', 'Los Angeles Clippers']","{'New Orleans Pelicans': 96, 'Los Angeles Clippers': 114}"
977,,Boston Celtics - Sacramento Kings,2016-12-03 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Sacramento Kings']","{'Boston Celtics': 97, 'Sacramento Kings': 92}"
978,,New York Knicks - Minnesota Timberwolves,2016-12-03 00:30:00+00:00,basketball,NBA,"['New York Knicks', 'Minnesota Timberwolves']","{'New York Knicks': 118, 'Minnesota Timberwolves': 114}"
979,,Toronto Raptors - Los Angeles Lakers,2016-12-03 00:30:00+00:00,basketball,NBA,"['Toronto Raptors', 'Los Angeles Lakers']","{'Toronto Raptors': 113, 'Los Angeles Lakers': 80}"
980,,Philadelphia 76ers - Orlando Magic,2016-12-03 00:00:00+00:00,basketball,NBA,"['Philadelphia 76ers', 'Orlando Magic']","{'Philadelphia 76ers': 88, 'Orlando Magic': 105}"
981,,Golden State Warriors - Houston Rockets,2016-12-02 03:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Houston Rockets']","{'Golden State Warriors': 127, 'Houston Rockets': 132}"
982,,Utah Jazz - Miami Heat,2016-12-02 02:00:00+00:00,basketball,NBA,"['Utah Jazz', 'Miami Heat']","{'Utah Jazz': 110, 'Miami Heat': 111}"
983,,Cleveland Cavaliers - Los Angeles Clippers,2016-12-02 01:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Los Angeles Clippers']","{'Cleveland Cavaliers': 94, 'Los Angeles Clippers': 113}"
984,,Memphis Grizzlies - Orlando Magic,2016-12-02 01:00:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'Orlando Magic']","{'Memphis Grizzlies': 95, 'Orlando Magic': 94}"
985,,Brooklyn Nets - Milwaukee Bucks,2016-12-02 00:30:00+00:00,basketball,NBA,"['Brooklyn Nets', 'Milwaukee Bucks']","{'Brooklyn Nets': 93, 'Milwaukee Bucks': 111}"
986,,Charlotte Hornets - Dallas Mavericks,2016-12-02 00:00:00+00:00,basketball,NBA,"['Charlotte Hornets', 'Dallas Mavericks']","{'Charlotte Hornets': 97, 'Dallas Mavericks': 87}"
987,,Portland Trail Blazers - Indiana Pacers,2016-12-01 03:00:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'Indiana Pacers']","{'Portland Trail Blazers': 131, 'Indiana Pacers': 109}"
